English (do not edit),Russian (fill this in),Where it appears,Note
Saved in this browser only.,,"Mounts: Stable Planner, note next to buttons",
Delete,,"Mounts: Stable Planner, delete a loadout",
Pick an Insignia Bonus,,"Mounts: Stable Planner, picker heading",
Selected Insignia Bonus,,"Mounts: Stable Planner, picker heading",
My insignias for this loadout:,,"Mounts: Stable Planner, section label",
What can I build with my insignias?,,Mounts: Stable Planner button,
What can I build?,,Mounts: Stable Planner button (short),
What you can build now,,"Mounts: Stable Planner, results heading",
Insignia Sharing Plan,,"Mounts: Stable Planner, results heading",
Excluded mounts,,"Mounts: Stable Planner, excluded list heading",
Restore all,,"Mounts: Stable Planner, restore excluded mounts",
reused,,Mounts: Stable Planner badge,
shared,,Mounts: Stable Planner badge,
single use — no sharing possible,,Mounts: Stable Planner badge,
all instances in one loadout — already optimal,,Mounts: Stable Planner badge,
DPS,,Mounts: build role,
Tank,,Mounts: build role,
Healer,,Mounts: build role,
How to use the Stable Planner,,Mounts: Stable Planner help title,
"Click ""+ Add Loadout"" for each loadout you actually run in-game (e.g., one for healer, one for tank, one per DPS spec).",,"Mounts: Stable Planner how-to, step 1",optional
"Name it, pick a role (DPS / Tank / Healer), then add up to 5 insignia bonuses you want active in that loadout. The same bonus can be added more than once if you want it on multiple mounts.",,"Mounts: Stable Planner how-to, step 2",optional
"Fill in ""My insignias for this loadout"" on each loadout with how many of each type you own — just five numbers, no sorting needed. Each loadout has its own counts, so you can plan loadouts with different insignia sets.",,"Mounts: Stable Planner how-to, step 3",optional
"Click ""What can I build with my insignias?"" on a loadout. It shows which of that loadout's bonuses you can run at the same time with what you own (no insignia doing double duty), and exactly how many more of each type you'd need for the rest.",,"Mounts: Stable Planner how-to, step 4",optional
"Check the Insignia Sharing Plan below to go further. For each bonus, it shows the minimum number of distinct mounts you need across all your loadouts — and exactly which mounts to pick — so the same insignia set covers every loadout that wants the bonus. Each row has a ""Save N upgrades"" badge.",,"Mounts: Stable Planner how-to, step 5",optional
★ markers mean a mount has a preferred slot that can be filled with its preferred type (+20% IL & stats on that insignia). Those mounts are listed first.,,"Mounts: Stable Planner how-to, step 6",optional
"Don't own a recommended mount? Click the × on its tile. It moves to the ""Excluded mounts"" bar and the next-best candidate takes its place. Click ↻ to restore.",,"Mounts: Stable Planner how-to, step 7",optional
"Everything saves automatically in this browser only — refresh, come back tomorrow, your loadouts are still there. Use ""Clear All"" to reset.",,"Mounts: Stable Planner how-to, step 8",optional
